Endpoint,Model,Seed,PCC
DEG-GE PCC,MiTCP,0,0.1927538388016996
DEG-GE PCC,MiTCP,10,0.1912341226644901
DEG-GE PCC,MiTCP,100,0.177790262471406
DEG-GE PCC,MiTCP,1000,0.1952025997405324
DEG-GE PCC,MiTCP,3407,0.1772537072390979
DEG-GE PCC,PRNet,0,0.2213201152355524
DEG-GE PCC,PRNet,10,0.2185765607999856
DEG-GE PCC,PRNet,100,0.2233091232174759
DEG-GE PCC,PRNet,1000,0.2213158355609394
DEG-GE PCC,PRNet,3407,0.2180871767953631
DEG-GE PCC,PerturbNet,0,0.4307910099147607
DEG-GE PCC,PerturbNet,10,0.4340527014087432
DEG-GE PCC,PerturbNet,100,0.4328293815186178
DEG-GE PCC,PerturbNet,1000,0.4330872715803149
DEG-GE PCC,PerturbNet,3407,0.4323548640336388
DEG-GE PCC,TranSiGen,0,0.4413060187565785
DEG-GE PCC,TranSiGen,10,0.4413245886363036
DEG-GE PCC,TranSiGen,100,0.3316189293645069
DEG-GE PCC,TranSiGen,1000,0.4416944518188068
DEG-GE PCC,TranSiGen,3407,0.4424710728580073
DEG-GE PCC,MVCPert,0,0.7034629059289205
DEG-GE PCC,MVCPert,10,0.7037763225775475
DEG-GE PCC,MVCPert,100,0.7054231312155101
DEG-GE PCC,MVCPert,1000,0.6989365345737641
DEG-GE PCC,MVCPert,3407,0.705173756625727
DEG-GE PCC,XPert,0,0.4376782747921741
DEG-GE PCC,XPert,10,0.4380639510830456
DEG-GE PCC,XPert,100,0.4341442176311364
DEG-GE PCC,XPert,1000,0.4362966517529355
DEG-GE PCC,XPert,3407,0.4376549050755988
DEG-GE PCC,chemCPA,0,0.4426618275310426
DEG-GE PCC,chemCPA,10,0.4362658751510234
DEG-GE PCC,chemCPA,100,0.4424634379199183
DEG-GE PCC,chemCPA,1000,0.4408728914510449
DEG-GE PCC,chemCPA,3407,0.4415189055285195
DEG-GE PCC,cycleCDR,0,0.3578867719195024
DEG-GE PCC,cycleCDR,10,0.3464007001764119
DEG-GE PCC,cycleCDR,100,0.3555700707884004
DEG-GE PCC,cycleCDR,1000,0.3584405312739561
DEG-GE PCC,cycleCDR,3407,0.3592499074886016
DEG-CP PCC,MorphDiff-like,0,0.0136326706873109
DEG-CP PCC,MorphDiff-like,10,0.0185220286280234
DEG-CP PCC,MorphDiff-like,100,-0.0053481623685329
DEG-CP PCC,MorphDiff-like,1000,0.0442708846031248
DEG-CP PCC,MorphDiff-like,3407,0.00477302787575
DEG-CP PCC,ResNet-18,0,0.8308664966112017
DEG-CP PCC,ResNet-18,10,0.4661050011299297
DEG-CP PCC,ResNet-18,100,0.8323971715125963
DEG-CP PCC,ResNet-18,1000,0.4474933370412874
DEG-CP PCC,ResNet-18,3407,0.8224536296753481
DEG-CP PCC,Small ViT,0,0.2158003635850416
DEG-CP PCC,Small ViT,10,0.2164578518390111
DEG-CP PCC,Small ViT,100,0.2525943070856791
DEG-CP PCC,Small ViT,1000,0.1866448634673717
DEG-CP PCC,Small ViT,3407,0.2299895005558396
DEG-CP PCC,MVCPert,0,0.8596238686895246
DEG-CP PCC,MVCPert,10,0.8588662024577666
DEG-CP PCC,MVCPert,100,0.8567389567667137
DEG-CP PCC,MVCPert,1000,0.8557667548405906
DEG-CP PCC,MVCPert,3407,0.8566423651018221
