Model,TopK,Subset,Overlap,ci_low,ci_high,n,error_source
MVCPert,20,informative,0.2236842105263158,0.17624999999999996,0.2710526315789473,19,sample_bootstrap
MVCPert,50,informative,0.28,0.2305263157894737,0.3284473684210525,19,sample_bootstrap
MVCPert,100,informative,0.3289473684210526,0.27631578947368424,0.38052631578947366,19,sample_bootstrap
PRNet,20,informative,0.09473684210526315,0.06842105263157894,0.1236842105263158,19,sample_bootstrap
PRNet,50,informative,0.12631578947368424,0.10210526315789475,0.14947368421052634,19,sample_bootstrap
PRNet,100,informative,0.19578947368421054,0.1705263157894737,0.22157894736842104,19,sample_bootstrap
TranSiGen,20,informative,0.021052631578947368,0.007894736842105265,0.0368421052631579,19,sample_bootstrap
TranSiGen,50,informative,0.0536842105263158,0.04315789473684211,0.06526315789473686,19,sample_bootstrap
TranSiGen,100,informative,0.10157894736842106,0.08842105263157897,0.11578947368421051,19,sample_bootstrap
chemCPA,20,informative,0.1447368421052632,0.10782894736842105,0.18421052631578946,19,sample_bootstrap
chemCPA,50,informative,0.18210526315789474,0.14105263157894737,0.2231578947368421,19,sample_bootstrap
chemCPA,100,informative,0.23842105263157895,0.19524999999999998,0.2800000000000001,19,sample_bootstrap
cycleCDR,20,informative,0.07631578947368421,0.04210526315789474,0.11842105263157894,19,sample_bootstrap
cycleCDR,50,informative,0.14526315789473684,0.11263157894736843,0.18000000000000002,19,sample_bootstrap
cycleCDR,100,informative,0.18526315789473688,0.15051315789473682,0.2210526315789474,19,sample_bootstrap
MiTCP,20,informative,0.044736842105263165,0.010526315789473684,0.08157894736842107,19,sample_bootstrap
MiTCP,50,informative,0.05894736842105264,0.03684210526315789,0.08105263157894738,19,sample_bootstrap
MiTCP,100,informative,0.09842105263157896,0.08105263157894738,0.11736842105263158,19,sample_bootstrap
XPert,20,informative,0.16052631578947368,0.12631578947368421,0.19999999999999996,19,sample_bootstrap
XPert,50,informative,0.22631578947368425,0.17578947368421055,0.27789473684210525,19,sample_bootstrap
XPert,100,informative,0.28210526315789475,0.22313157894736843,0.33842105263157896,19,sample_bootstrap
