Model,Metric,NoAug,WithAug
Baseline,GE systema,0.289571005466091,0.30445081812436653
Baseline,GE profile,0.2793534530269896,0.2953436079746295
Baseline,GE-DEG,0.6585340805957324,0.6576660026984261
Baseline,CP systema,0.7010625579492608,0.711467902065975
Baseline,CP profile,0.6794773114200572,0.6913437785199824
Baseline,CP-DEG,0.5782694228157502,0.5891564350016071
HyperGate,GE systema,0.3056898721499587,0.3180753556250413
HyperGate,GE profile,0.2962445952300294,0.309185990924685
HyperGate,GE-DEG,0.661248165093766,0.6626764636431716
HyperGate,CP systema,0.715814541181632,0.7219912412902111
HyperGate,CP profile,0.6956052686592444,0.7022400446447172
HyperGate,CP-DEG,0.5938070009369866,0.5961824174391323
MVCPert,GE systema,0.3121271990188832,0.3206833598193016
MVCPert,GE profile,0.3034171239325507,0.31173864537549756
MVCPert,GE-DEG,0.6612260635797705,0.6622178391282781
MVCPert,CP systema,0.7263460164898868,0.7279239348938753
MVCPert,CP profile,0.7070345498707485,0.7091469715899912
MVCPert,CP-DEG,0.6027255381929477,0.6004331340907793
