Variant,Seed,Metric,Delta
Gate,3407,systema-CP PCC,0.004241818461447888
Gate,3407,CP PCC,0.00454112564448983
Gate,3407,DEG-CP PCC,0.0031422341311250213
Gate,0,systema-CP PCC,0.001281433922165176
Gate,0,CP PCC,0.0013805766987931012
Gate,0,DEG-CP PCC,0.0007412970836963018
Gate,10,systema-CP PCC,0.0031480805735044637
Gate,10,CP PCC,0.003151802479113397
Gate,10,DEG-CP PCC,0.004237583719339577
Gate,100,systema-CP PCC,0.0038914046709064287
Gate,100,CP PCC,0.0045663455110088735
Gate,100,DEG-CP PCC,0.0011314611561973331
Gate,1000,systema-CP PCC,0.001599573658858433
Gate,1000,CP PCC,0.0015748527084518127
Gate,1000,DEG-CP PCC,0.00044096625579770343
HyperGate,3407,systema-CP PCC,0.010523339224236095
HyperGate,3407,CP PCC,0.010896266124734821
HyperGate,3407,DEG-CP PCC,0.007025982437525169
HyperGate,0,systema-CP PCC,0.00797308725293433
HyperGate,0,CP PCC,0.008172317860267286
HyperGate,0,DEG-CP PCC,0.00531706888395822
HyperGate,10,systema-CP PCC,0.010058981774081266
HyperGate,10,CP PCC,0.01028385377343366
HyperGate,10,DEG-CP PCC,0.00981481221490288
HyperGate,100,systema-CP PCC,0.009220417560504957
HyperGate,100,CP PCC,0.00997336830099671
HyperGate,100,DEG-CP PCC,0.0015959452938637542
HyperGate,1000,systema-CP PCC,0.007972060490928357
HyperGate,1000,CP PCC,0.008306484416430004
HyperGate,1000,DEG-CP PCC,0.006537559632443624
MVCPert,3407,systema-CP PCC,0.016456032827900313
MVCPert,3407,CP PCC,0.01780319307000877
MVCPert,3407,DEG-CP PCC,0.01127669908917217
MVCPert,0,systema-CP PCC,0.011056635557132544
MVCPert,0,CP PCC,0.011386103968805905
MVCPert,0,DEG-CP PCC,0.005650390442466624
MVCPert,10,systema-CP PCC,0.010847628496706618
MVCPert,10,CP PCC,0.011033534503649745
MVCPert,10,DEG-CP PCC,0.007516682567408672
MVCPert,100,systema-CP PCC,0.00893331872657166
MVCPert,100,CP PCC,0.00970455704639972
MVCPert,100,DEG-CP PCC,-0.000769655649241141
MVCPert,1000,systema-CP PCC,0.012814818765065406
MVCPert,1000,CP PCC,0.013473125547399989
MVCPert,1000,DEG-CP PCC,0.008811210987749951
