Variant,Seed,Metric,Delta
Gate,3407,systema-GE PCC,0.013762593700733572
Gate,3407,GE PCC,0.014428945024304585
Gate,3407,DEG-GE PCC,0.004244666153638499
Gate,0,systema-GE PCC,0.011493770466775355
Gate,0,GE PCC,0.011012910757387473
Gate,0,DEG-GE PCC,0.00573224762977631
Gate,10,systema-GE PCC,0.012714689874548213
Gate,10,GE PCC,0.0128804065132887
Gate,10,DEG-GE PCC,0.0044351420856167945
Gate,100,systema-GE PCC,0.016294905537408033
Gate,100,GE PCC,0.016252097892271555
Gate,100,DEG-GE PCC,0.0067750423761276934
Gate,1000,systema-GE PCC,0.012560648197616264
Gate,1000,GE PCC,0.01224622212048998
Gate,1000,DEG-GE PCC,0.005832486463885012
HyperGate,3407,systema-GE PCC,0.013624537500674772
HyperGate,3407,GE PCC,0.01384238295005552
HyperGate,3407,DEG-GE PCC,0.005010460944745443
HyperGate,0,systema-GE PCC,0.012608764659270189
HyperGate,0,GE PCC,0.012086486186310363
HyperGate,0,DEG-GE PCC,0.006132647834185989
HyperGate,10,systema-GE PCC,0.0164035442678509
HyperGate,10,GE PCC,0.015971886734977125
HyperGate,10,DEG-GE PCC,0.006253021676552062
HyperGate,100,systema-GE PCC,0.014597591065379167
HyperGate,100,GE PCC,0.014346065952347331
HyperGate,100,DEG-GE PCC,0.005482442774282226
HyperGate,1000,systema-GE PCC,0.01058981759597194
HyperGate,1000,GE PCC,0.010322624232218192
HyperGate,1000,DEG-GE PCC,0.004682284459618491
MVCPert,3407,systema-GE PCC,0.0162325416949351
MVCPert,3407,GE PCC,0.016395037400868062
MVCPert,3407,DEG-GE PCC,0.004551836429852019
MVCPert,0,systema-GE PCC,0.0193102322160153
MVCPert,0,GE PCC,0.019544336385598438
MVCPert,0,DEG-GE PCC,0.0053809083484369635
MVCPert,10,systema-GE PCC,0.002042268785597934
MVCPert,10,GE PCC,0.001243524781700922
MVCPert,10,DEG-GE PCC,0.0038130363660492383
MVCPert,100,systema-GE PCC,0.016962581014251632
MVCPert,100,GE PCC,0.016537669786413745
MVCPert,100,DEG-GE PCC,0.008253456745755394
MVCPert,1000,systema-GE PCC,0.01474702887805096
MVCPert,1000,GE PCC,0.014980145147852397
MVCPert,1000,DEG-GE PCC,0.006158187856961872
