Variant,Seed,systema-GE PCC,GE PCC,DEG-GE PCC,GE RMSE,systema-CP PCC,CP PCC,DEG-CP PCC,CP RMSE
Baseline,3407,0.30445081812436653,0.2953436079746295,0.6576660026984261,0.9137152597381564,0.711467902065975,0.6913437785199824,0.5891564350016071,0.6439036515692772
Baseline,0,0.30427159836248113,0.2955700582517444,0.6568022833852639,0.9153318997674388,0.7132695934899252,0.693319177831835,0.5921221307623218,0.6420452304661568
Baseline,10,0.3036694380067973,0.2950322402853183,0.6577346722700913,0.9135279104774221,0.7105980436824574,0.690593324455701,0.587043121835374,0.6449360497552773
Baseline,100,0.3029855810488344,0.2944926252973046,0.6568440897326018,0.9149958449631489,0.7121364437438217,0.6916352773507314,0.59233523649932,0.6423375274820868
Baseline,1000,0.3046381156596496,0.2961462972848118,0.6567115454636331,0.9155958167804873,0.7132462260132975,0.693366013948801,0.5899460983306647,0.6435744107283395
Gate,3407,0.3182134118251001,0.3097725529989341,0.6619106688520646,0.9065134491606299,0.7157097205274229,0.6958849041644722,0.5922986691327321,0.642509865540589
Gate,0,0.3157653688292565,0.3065829690091319,0.6625345310150402,0.9053185820726338,0.7145510274120904,0.6946997545306282,0.5928634278460181,0.6435660121549527
Gate,10,0.3163841278813455,0.307912646798607,0.6621698143557081,0.9060511456187723,0.7137461242559618,0.6937451269348144,0.5912807055547136,0.6440424929918914
Gate,100,0.3192804865862424,0.31074472318957613,0.6636191321087295,0.9048303472584691,0.7160278484147281,0.6962016228617403,0.5934666976555173,0.6421104530028522
Gate,1000,0.31719876385726586,0.30839251940530177,0.6625440319275181,0.9055877468342264,0.7148457996721559,0.6949408666572529,0.5903870645864624,0.6439932048981413
HyperGate,3407,0.3180753556250413,0.309185990924685,0.6626764636431716,0.9058160175610646,0.7219912412902111,0.7022400446447172,0.5961824174391323,0.6325811399174441
HyperGate,0,0.3168803630217513,0.3076565444380548,0.6629349312194499,0.9056827510445576,0.7212426807428596,0.7014914956921023,0.59743919964628,0.6326528325970537
HyperGate,10,0.3200729822746482,0.31100412702029545,0.6639876939466434,0.9038890694309338,0.7206570254565386,0.7008771782291346,0.5968579340502769,0.6331229059126576
HyperGate,100,0.31758317211421355,0.3088386912496519,0.662326532506884,0.9059297825021697,0.7213568613043266,0.7016086456517281,0.5939311817931837,0.632736825150222
HyperGate,1000,0.31522793325562154,0.30646892151703,0.6613938299232516,0.9068681331177063,0.7212182865042258,0.701672498365231,0.5964836579631083,0.6330122147067427
MVCPert,3407,0.3206833598193016,0.31173864537549756,0.6622178391282781,0.9061117191766871,0.7279239348938753,0.7091469715899912,0.6004331340907793,0.6292648761069833
MVCPert,0,0.32358183057849643,0.31511439463734287,0.6621831917337009,0.9061454805394111,0.7243262290470578,0.704705281800641,0.5977725212047884,0.6311942195584034
MVCPert,10,0.30571170679239523,0.29627576506701925,0.6615477086361405,0.9100266973153124,0.721445672179164,0.7016268589593507,0.5945598044027827,0.6324559146841171
MVCPert,100,0.319948162063086,0.3110302950837183,0.6650975464783572,0.9031493178288925,0.7210697624703933,0.7013398343971311,0.5915655808500788,0.633552548135149
MVCPert,1000,0.31938514453770056,0.3111264424326642,0.662869733320595,0.9065153820100676,0.7260610447783629,0.706839139496201,0.5987573093184146,0.629923822007743
